experiment_name,dice_class_1,std_dice_class_1,hd95_class_1,std_hd95_class_1,dice_class_2,std_dice_class_2,hd95_class_2,std_hd95_class_2,dice_class_3,std_dice_class_3,hd95_class_3,std_hd95_class_3,dice_class_4,std_dice_class_4,hd95_class_4,std_hd95_class_4
patchsize_,0.8193788496411338,0.1155334995681439,0.8453132320553911,0.1862524490550645,0.8107245219415824,0.1007021885407122,0.9203659895872552,0.1655801428225844,0.7163102608150087,0.1086337203384258,1.930520165504658,0.5700231495185247,0.654401515805942,0.1148552459877087,1.127192209166017,0.7387812830944958
"patchsize_192,64,168",0.8318917546669511,0.1067985029013663,0.7673923174987083,0.1282394744113333,0.8215408370568962,0.091605122813021,0.934031367614395,0.1610445522662176,0.7292404036770519,0.1034046701606984,1.5209806344903507,0.9011360015674712,0.6566105965218597,0.1150793828312514,0.8530817717058652,0.4744828938653565
"patchsize_192,96,160",0.8329210178230246,0.1068387415307123,0.7663329225186741,0.1997886407772259,0.8230521514778848,0.0873855892624798,0.999166492395056,0.2032535985333545,0.7280831938617129,0.1010111384237598,1.570867678752348,0.9031643451092995,0.6570722309322082,0.1087870105270431,0.9667084938073864,0.6240647600528801
patchsize_4,0.829875641687036,0.1057511257924798,0.7353637224357374,0.1484626562433387,0.8246921556372999,0.0901083480235735,0.9271834197632404,0.1146194612975337,0.7274534431455308,0.0951287961249779,1.6687201057958143,1.1628914481744206,0.6642063157997237,0.102544437357057,0.9914640801144308,0.6257870001442388
patchsize_5,0.8335094755011893,0.1056361215422391,0.7778842461335655,0.1171347724571766,0.8257859506660036,0.0902662439097095,0.9558659308618028,0.1365579562605648,0.7330577384796564,0.0879762601720457,1.6361521397480945,1.1220090439794097,0.666634585220918,0.1000674710526681,0.9186495087271898,0.5464874438492405
