Experiment Name,Mode,Config,Dice_White Matter_Mean,Dice_White Matter_Std,HD95_White Matter_Mean,HD95_White Matter_Std,Dice_Gray Matter_Mean,Dice_Gray Matter_Std,HD95_Gray Matter_Mean,HD95_Gray Matter_Std,Dice_Lesion WM_Mean,Dice_Lesion WM_Std,HD95_Lesion WM_Mean,HD95_Lesion WM_Std,Dice_Lesion GM_Mean,Dice_Lesion GM_Std,HD95_Lesion GM_Mean,HD95_Lesion GM_Std,Dice_Total_Mean,Dice_Total_Std,HD95_Total_Mean,HD95_Total_Std
base,validation,Cross-Fold,0.8484998693184642,0.0874777596655922,0.7832212402539862,0.35076968814127013,0.8193823309627661,0.06651237578128542,0.7418667298634731,0.3231651167910788,0.7293337180722902,0.04003900604073363,0.9161972055289132,0.27283895466142627,0.6652832771730743,0.021401113660544164,0.5831466903458955,0.27788064203610996,0.7656247988816487,0.0414945514259104,0.756107966498067,0.2753217330880376
soft_loss_fixed,validation,Cross-Fold,0.8460204214810699,0.08974396902089035,0.7096728791857747,0.29788420963282364,0.8228864071712697,0.06562020616104444,0.7574008783202029,0.3586776322233072,0.7246015244673953,0.04289265767768375,0.9742697480337561,0.3253077533173189,0.6636629497910652,0.022556393012341733,0.5400783230860403,0.2318130655680201,0.7642928257277,0.04129030818221958,0.7453554571564436,0.2598144268296293
soft_loss_2_fixed,validation,Cross-Fold,0.8456184160523047,0.09438191101980284,0.7992548820828936,0.4152511735670582,0.8280958778359969,0.06400773928185545,0.7423061291945758,0.3136006585002369,0.7443949900578459,0.019426082469294732,0.9063892169462935,0.39542457653225976,0.6717238895494965,0.008342288526201827,0.5592809587394032,0.2930037980851918,0.772458293373911,0.04055473432209187,0.7518077967407916,0.33065131892093447
soft_loss_3_fixed,validation,Cross-Fold,0.8445528485706257,0.09227786946797745,0.739839051285397,0.3204584626915945,0.8216444087555947,0.06681939074771089,0.7999014833783108,0.3712085748783311,0.7238187988509639,0.03791509480438387,0.9426589109999212,0.35662572119175123,0.6578006543339603,0.01453651089387967,0.5235622868445391,0.2801372490459444,0.7619541776277862,0.04182112465837414,0.751490433127042,0.3014734983857997
