Experiment Name,Mode,Config,Dice_White Matter_Mean,Dice_White Matter_Std,HD95_White Matter_Mean,HD95_White Matter_Std,Dice_Gray Matter_Mean,Dice_Gray Matter_Std,HD95_Gray Matter_Mean,HD95_Gray Matter_Std,Dice_Lesion WM_Mean,Dice_Lesion WM_Std,HD95_Lesion WM_Mean,HD95_Lesion WM_Std,Dice_Lesion GM_Mean,Dice_Lesion GM_Std,HD95_Lesion GM_Mean,HD95_Lesion GM_Std,Dice_Total_Mean,Dice_Total_Std,HD95_Total_Mean,HD95_Total_Std
base,validation,Cross-Fold,0.8484998693184642,0.0874777596655922,0.7832212402539862,0.35076968814127013,0.8193823309627661,0.06651237578128542,0.7418667298634731,0.3231651167910788,0.7293337180722902,0.04003900604073363,0.9161972055289132,0.27283895466142627,0.6652832771730743,0.021401113660544164,0.5831466903458955,0.27788064203610996,0.7656247988816487,0.0414945514259104,0.756107966498067,0.2753217330880376
no_spatial_aug,validation,Cross-Fold,0.8025249332615606,0.1021506170558723,0.6924664070535143,0.26860837350285666,0.7858802744333867,0.08712027011514216,0.9309324834019908,0.4566645357687585,0.631028358527564,0.08435455708726508,1.5104339759171164,0.6027535502136184,0.6032155772231924,0.005100326644275722,0.809733472454983,0.4033908747898736,0.7056622858614259,0.04291594156608095,0.9858915847069011,0.3018315706355286
spatial_aug_2,validation,Cross-Fold,0.8512728403821808,0.09011756662167016,0.8457342843812132,0.4835960071123754,0.8253583163698482,0.06364778359399241,0.7345213547326852,0.32301582579630356,0.7429573157121305,0.032980169630251875,0.8356484266378736,0.34383651457506936,0.6670319210442274,0.020795188917466054,0.5286339882267573,0.23221515537573525,0.7716550983770967,0.04160611014898812,0.7361345134946323,0.33413333074247636
spatial_aug_3,validation,Cross-Fold,0.8377430305351582,0.0936217179784846,0.867608695621493,0.45912468179795785,0.8185531132041614,0.062020193929041255,0.7902249016522018,0.3438280334074967,0.7140013684223954,0.06577340299950958,0.8986100016988634,0.3345328215289124,0.6627611202671888,0.04447592177438783,0.5623214413292418,0.2569844926171518,0.7582646581072259,0.04620838879965224,0.77969126007545,0.3279172391629996
