Experiment Name,Mode,Config,Dice_White Matter_Mean,Dice_White Matter_Std,HD95_White Matter_Mean,HD95_White Matter_Std,Dice_Gray Matter_Mean,Dice_Gray Matter_Std,HD95_Gray Matter_Mean,HD95_Gray Matter_Std,Dice_Lesion WM_Mean,Dice_Lesion WM_Std,HD95_Lesion WM_Mean,HD95_Lesion WM_Std,Dice_Lesion GM_Mean,Dice_Lesion GM_Std,HD95_Lesion GM_Mean,HD95_Lesion GM_Std,Dice_Total_Mean,Dice_Total_Std,HD95_Total_Mean,HD95_Total_Std
base,validation,Cross-Fold,0.8484998693184642,0.0874777596655922,0.7832212402539862,0.35076968814127013,0.8193823309627661,0.06651237578128542,0.7418667298634731,0.3231651167910788,0.7293337180722902,0.04003900604073363,0.9161972055289132,0.27283895466142627,0.6652832771730743,0.021401113660544164,0.5831466903458955,0.27788064203610996,0.7656247988816487,0.0414945514259104,0.756107966498067,0.2753217330880376
winning_combination,validation,Cross-Fold,0.8431833111800271,0.09466833016096803,0.8470461839628678,0.4974261186129027,0.8198597421164315,0.06869489930379825,0.7847407411192925,0.39560550820951085,0.7234065234840604,0.07087861271139034,0.8156388534653821,0.27763131293557863,0.6536121132807424,0.023596593552419488,0.6129236353657542,0.3015010106949112,0.7600154225153153,0.03724419688205728,0.7650873534783241,0.3377002276114867
spatial_aug_2,validation,Cross-Fold,0.8512728403821808,0.09011756662167016,0.8457342843812132,0.4835960071123754,0.8253583163698482,0.06364778359399241,0.7345213547326852,0.32301582579630356,0.7429573157121305,0.032980169630251875,0.8356484266378736,0.34383651457506936,0.6670319210442274,0.020795188917466054,0.5286339882267573,0.23221515537573525,0.7716550983770967,0.04160611014898812,0.7361345134946323,0.33413333074247636
soft_loss_2_fixed,validation,Cross-Fold,0.8456184160523047,0.09438191101980284,0.7992548820828936,0.4152511735670582,0.8280958778359969,0.06400773928185545,0.7423061291945758,0.3136006585002369,0.7443949900578459,0.019426082469294732,0.9063892169462935,0.39542457653225976,0.6717238895494965,0.008342288526201827,0.5592809587394032,0.2930037980851918,0.772458293373911,0.04055473432209187,0.7518077967407916,0.33065131892093447
